review,rating,recommended,sentiment,review_length,sentiment_score,purchase_label
"i got one for my mom she's 90 years young and she sits and listens to it all day, she;s got the amazon tap i got my draugther the dot and i got my self another tap. i just found out you can put the tap on hands free and you dont have to tap the button this made it even better. my grand kids love playing ganes with alexa. like i said every household need one",5.0,True,positive,77,1,1
"The latest software update included hands free mode. So this can do everything that the stationary Echo speaker does, but is fully portable. Personally, I don't want the device to record everything I say all the time, so I only use the tap mode. The sound quality is good for a speaker of this size. This is especially a great choice if you have a mobile hotspot with unlimited data. You can now bring Alexa on the go.",5.0,True,positive,78,1,1
"I was impressed with the sound of the original Echo, the price of the Dot. The Echo Tap is the best of both and Portable. I have echos in multiple rooms. I got this to bring music outside to the patio. The music has rich bass and clear sound perfect for tunes or talk. Now that SiriusXM is on Alexa too I have access to great music, Howard stern, NFL, MLB and all the rest of the satellite radio content. The great thing about the tap is unlike a normal Bluetooth speaker this one works solo with Alexa and wifi. Even my wife loves it I think she talks to Alexa now more than she talks to me.",5.0,True,positive,118,1,1
Still in the learning process--looking forward to more benefits!,4.0,True,positive,9,1,1
I like buying things that work as advertised. This does.Although it does not respond as well to my wife's commands. Hmmm...,5.0,True,positive,21,1,1
"This is a fun and convenient toy, but I'm surprised about some of the limitations. I keep hearing the same NPR news clip when I ask for news or headline news. I would like more news highlights. When I ask for 80s music, Echo starts with the same 1 of 3 songs each time.",4.0,True,positive,54,1,1
"I read reviews for all the Amazon echo products, and decided the portability and the full size of the Tap made it the right product for me. It lives up to my expectations. It does last all day, playing music, answering questions, (although my accent must give it some problems as I get a few ""I didn't understand that"" comments from Alexa), and setting timers/alarms and lists. I picked the Tap because it has the ability to be moved room to room or even to the patio, and can be recharged overnight.",5.0,True,positive,92,1,1
This is so easy to operate and fun too! I love it!!,5.0,True,positive,12,1,1
"Thoughts of being able to have the Echo ""grow"" as I added to the list of tasks, excited me. Including the latest app, having it to recognize my smartphone's contact list to place and to receive calls. However, the Echo I purchased does not link up to my Samsung smartphone. Disappointed is a understatement.",4.0,False,positive,54,1,0
Love the fact that it has a rechargeable battery and can be moved with no issues for listening in other rooms. Has a decent amount of Bass for the size.,5.0,True,positive,30,1,1
Awesome speaker easy to set up. Easy to play. Great by the pool,5.0,True,positive,13,1,1
"Same features as Echo now, but easier to move around the house as needed w/you.",5.0,True,positive,15,1,1
"Always loved the Amazon Echo. Now we can rake it with us, outside, wherever!",5.0,True,positive,14,1,1
"Smaller then what i expecting, alexa sounds loud and clear. Music sounds great, just make sure you enable alexa hands free so you dont have to hit the button",5.0,True,positive,29,1,1
Reasonably priced and worth every penny! I love it.,5.0,True,positive,9,1,1
I shopped for a long time until I found this and I am very pleased.,5.0,True,positive,15,1,1
It exceeded my expectations and recommend this product to friends,5.0,True,positive,10,1,1
The family really enjoys the Amazon Tap. This is an awesome investment. We talk to Alexa everyday.,4.0,True,positive,17,1,1
Love having someone to take notes for me and play music on demand.,4.0,True,positive,13,1,1
Chose this over a regular Bluetooth speaker and am so glad I did. Alexa really helps me be hands free and get things done. The sound quality is great. I've used it in the bathroom and no issues with steam.,5.0,True,positive,40,1,1
Looked at the Echo before we bought this and I would have been a fool to buy it when you have to add a battery to make it portable. This has everything we need and then some.,5.0,True,positive,37,1,1
It's amazing! I love how loud it plays the music!!,5.0,True,positive,10,1,1
This product works great with my amazon account and best part is it does not listen too all my conversations. While it is an option I prefer to hit the button for it to recognize a voice command. That way its not listening till I tell it to unlike Google's device and the other amazon devices.,5.0,True,positive,56,1,1
"Love the Dot, Hate the Tap Portable! This device will not hold a charge for even one day. The dots are amazing though.",2.0,False,negative,23,-1,0
"I just love this tap!! It is so much fun. The music is so great. I play the relation music every night,every night. Best thing ever!",5.0,True,positive,26,1,1
Love the speaker and the assistance of Alexa. Was trying to choose between this and a regular Bluetooth speaker and this was a better choice for my needs.,5.0,True,positive,28,1,1
Great speaker and the sound is great. Use it every day. Love being able to use Alexa when attached to my network.,5.0,True,positive,22,1,1
"The Amazon Tap is a perfect complement to our Amazon Echo. Put this in our office space...has all the advantages of the Echo and is also a great Bluetooth speaker. Having to ""tap"" the mic button to summon Alexa is no issue at all! Sound quality is as good as any Bluetooth speaker on the market and it's extremely portable.",5.0,True,positive,60,1,1
Alexa works great and does lots of things for you. Fun for the family.,5.0,True,positive,14,1,1
"I'm glad that I bought this product, it's easy to understand, my grandkids loves it.",5.0,True,positive,15,1,1
"Besides the missing app functionality (check compatibility before purchasing), it does exactly what I want it to.",4.0,True,positive,17,1,1
Mostly just use it for the speaker. Still waiting on the no touch feature they are adding.,4.0,True,positive,17,1,1
"A friend gave me a Dot, which I enjoyed. I decided to explore the other devices. I was torn between the Echo and the Tap. After reading a CNET review, I chose the Tap because it is portable. My two frustrations are you cannot change the wake up word ""Alexis"", and you have to be exact in your language when requesting a service. If you are Amazon prime or Audible book member, it is a great addition to you household.",4.0,True,positive,80,1,1
"Guys, the Tap does everything Echo does and it's portable! Use it at home for everything, at work on your desk for music, weather, etc, and even poolside as a portable speaker.",5.0,True,positive,32,1,1
Great sound. Love it. It's value is well worth it.,4.0,True,positive,10,1,1
This is the best of both worlds. A reasonably priced BT speaker and an Amazon Alexa enabled device. I would highly recommend to anyone looking for a BT speaker and considering an Alexa enabled device.,5.0,True,positive,35,1,1
"I use this hours a day. Whether it is for listening to spotify or turning on a wemo-device, the battery life, sound quality, and voice recognition is great.",5.0,True,positive,28,1,1
Very happy with the Tap. We have the Echo and would have to unplug it and plug it in to use it on the deck. With the Tap we just take it off the charging stand and go. No more bothering with Bluetooth speakers and using our phone when we can just play music ever from the Internet with TAP.,4.0,True,positive,60,1,1
It has a good sound. The battery last long and it connects easily to WiFi and blue tooth. But you have to touch a button before you speak to it.,5.0,True,positive,30,1,1
"This is a great on-the-go speaker. I like the fact that it sits on a charging cradle instead of having to plug in. Also, bonus: Alex. I like the update they have done to it as well where you don't have to push the button to activate her, you can just say her name. If you are looking for an echo with a decent speaker without paying too much, choose this one. Spend more,m and you can get the regular echo which has a better booming sound, but you can't travel with it.",5.0,True,positive,93,1,1
we're early in the stages of home smartness but this is a good start,4.0,True,positive,14,1,1
I like the product itself but its app is very slow esp. outside the U.S. when you are on the go.,4.0,False,positive,21,1,0
Before I bought this I had a blue tooth speaker and an iPod touch. Both of which had to be charged and turned on etc. now I just tell Alexa to play music.,5.0,True,positive,33,1,1
"Love it, works better than anticipated. Also at a good price",5.0,True,positive,11,1,1
"We already had an Alexa but this one is a great addition. It's portable, rechargeable and good sound.",5.0,True,positive,18,1,1
Its very nice and not as big as the echo. Didn't know there was a Tap available to buy.,4.0,True,positive,19,1,1
Has a very good Bluetooth speakers sound quality is good but otherwise she's pretty useless when it comes to get answering questions,1.0,False,negative,22,-1,0
This is the one to get after Amazon's update to have the device always on. It also has the best speaker of the three.,5.0,True,positive,24,1,1
"This product is ok, wasn't too impressed with the commercial was defiantly more interesting",3.0,True,neutral,14,0,1
Cute speaker. a bit expensive but the amazon streaming capabilities make it worth it,5.0,True,positive,14,1,1
"This is a great product. I also have a Dot but the ability take this anywhere is a huge bonus, the hands free mode works just like the Dot, and the sound is great. I use the Tap all the time; working on projects, making shopping lists, playing games, to turning on the lights. I looked at the Echo but even with a battery pack it didn't seem very mobile.",5.0,True,positive,70,1,1
I have an Alexa but wanted a speaker for traveling. You can use this without a plug in cord.,4.0,True,positive,19,1,1
"A nice complement to the Alexa family. The sound quality is nearly as good as the original Echo, and the voice activation addition makes it an even better by, particularly for the price.",5.0,True,positive,33,1,1
The echo is easy to use and fun to use once you buy one you'll want them for all over your house.,4.0,True,positive,22,1,1
This item is exactly what I was looking for. It is a perfect size for home or travel. It is very loud for its size.,5.0,True,positive,25,1,1
Makes for a great alarm and reminder device. I own 2 dots and the tap. Use them all.,5.0,True,positive,18,1,1
Great Bluetooth speaker with the added benefit of Alexa,4.0,True,positive,9,1,1
Love being able to use Alexa unplugged. Amazing device!,5.0,True,positive,9,1,1
Does as advertise. Good for bedroom and you can plug in external speakers.,4.0,True,positive,13,1,1
It helps the kids with questions it plays any music you like .,5.0,True,positive,13,1,1
Great sound quality from such a small item. Easy to hide so it's not noticeable.,5.0,True,positive,15,1,1
For the price this Amazon is amazing. Just like the echo but smaller. I show everyone how great it is.,5.0,True,positive,20,1,1
It is a quality product and has clear crisp sound. Best part it can be carried in any satchel. Sound is loud enough for a back yard gathering.,5.0,True,positive,28,1,1
Definitely enjoy using this at home. I was surprised at how intuitive it is and was able to answer any question in seconds. I mostly use it to play music through Amazon player. I know there's tons more it can do and can't wait to take advantage of all its capabilities.,5.0,True,positive,51,1,1
I first boughy alezxa from amazon and found the voice recognition and search algorithms lacking,5.0,True,positive,15,1,1
I love this speaker it works wonderfully. Very recommend,5.0,True,positive,9,1,1
Works just like echo but portable!! Great stuff. As described!,5.0,True,positive,10,1,1
Amazon tap is one of my best buys this year so far...The only thing that could make the tap better is an upgrade so you don't have to tap every command....That would make it a 5star device....,4.0,True,positive,37,1,1
I love this product. Great sound quality and at a good price,4.0,True,positive,12,1,1
"I have the Amazon Tap (which I purchased at Best Buy about a month ago) and love it so much I bought one for my son and his family. They love it, too!",5.0,True,positive,33,1,1
"I wanted a speaker to listen to Pandora and go so much more! Being able to speak to Alexa and get news, weather, timer, light controls and so much more! Love the product!",5.0,True,positive,33,1,1
I the awesome I use it at work at lot its loud enough to enjoy any where,5.0,True,positive,17,1,1
Love Alexa. We currently have three devices that we use on a daily basis. I use one at work basically for streaming music. Great device. No problems connecting to any of them.,5.0,True,positive,32,1,1
"Smart, timely, very effective around the house. I have a Dot as well but the Tap has MUCH better sound. I had a Google Earth and replaced it with the TAP because Google was not as smart as Tappy!",5.0,True,positive,39,1,1
"It's very easy to connect devices, and it produces a good sound. I'm very pleased with this purchase.",5.0,True,positive,18,1,1
"I already own the Amazon Echo, so for smart speaker, it is one of the most handy devices out there. There is so many things you will find that you can do with it and the list keeps growing. Since the software update that allows you to use ""Always On"" voice commands like its big brother, it has become my go to device.Pros:- Wireless Bluetooth Smart Speaker - I take it to work and use it in the car, even when I travel for work- Sync's up with my popular music aps (Spotify, Pandora, etc)- Alexa is very responsive and can answer your questions quickly- The best Alarm Clock- I sync up with audio books and will use it on long car rides or business trips- Speaker is able to get loud- Control smart devices like lighting and my ecobee - Option to turn Off/On voice commands, can use tap button instead- Very long range for voice commandsCons:- Only single band Wi-Fi 2.4Ghz- Battery life when using ""Always On"" voice commands is short- Speaker quality is sub par for music compared to other Bluetooth speakersOverall the usefulness of this device is near perfect for my needs, with only minimal cons. I use this device pretty much every day and is small enough to make for an excellent travel companion.Tip for BESTBUY: You should carry cases for this device as I had to get my protector elsewhere",4.0,True,positive,236,1,1
"I like its flexibility, portability and it is the best value option of all three Alexas",5.0,True,positive,16,1,1
Thank You. Great Product for all ages. Thank You!!,5.0,True,positive,9,1,1
We got this for my son for xmas. He loves it. He uses it daily.,5.0,True,positive,15,1,1
"..exactly what I wanted, but the battery drains FAST when on hands free mode.",4.0,True,positive,14,1,1
This Amazon tap is awesome! Take Alexa outside! The sound quality is amazing and the price is right!,5.0,True,positive,18,1,1
My wife uses the Tap mostly to listen to music. She loves the fact that she can take it into aNY room of the house. No more having to turn up the sound to hear I'm different parts of the house.,5.0,True,positive,41,1,1
"This little speaker is way better that her mother. after that update making it hand free, i recommend to anyone.",5.0,True,positive,20,1,1
It is a great addition to my home office. My Alexa is upstairs.,5.0,True,positive,13,1,1
"Echo sounds better for music, but Tap gives me portability. Good to have both. Now Tap is voice activated, so it's all good.",4.0,True,positive,23,1,1
Even as a speaker alone this item is worth the price!,5.0,True,positive,11,1,1
"Alexa {speaking from the Amazon Tap) is great to have around ! Current news, personal planning details as well as details that might have been forgotten are all available from Alexa..... The Tap sits next to my bed on the nite stand where I can easily call up ijnfo from my bed or as I walk by during the day or nite. Especially useful for a review of my calendar so I can review my upcoming days plans. Try Alexa in a store and my guess is you will want her at your house!",4.0,True,positive,94,1,1
"Bought the Echo Tap, Echo Dot, Phillips Hue Starter Kit and a Honeywell Thermostat for my wife for her birthday.She loves it and so do I!Cant wait to add more automated products to it. No need to have my phone out fumbling through multiple apps to change lighting and temperature, check weather, play music, etc., I just ask Alexa to do it while I continue at what I'm doing.Also, when the Dot and Tap are in the same room, the one that is closest to you typically answers your requests. Nice device that will only improve with time.",5.0,True,positive,98,1,1
I'm amazed the sound quality out of this little speaker unit set up is easy and I recommend it,5.0,True,positive,19,1,1
you can ask alexa almost anything kids love it Plays all my music,4.0,True,positive,13,1,1
We love that it is portable and can move from room to room effortlessly.,5.0,True,positive,14,1,1
"Great item, good service from Best Buy. It is uncanny that new and unique products are introduced often.",5.0,True,positive,18,1,1
I bought this as a Christmas gift and it sounds amazing. And of course the integration is wonderful too.,5.0,True,positive,19,1,1
Great device I use it on a regular basis. good investment,3.0,True,neutral,11,0,1
I haven't figured it out yet. So far it seems ok but I haven't used all of its potential yet.,4.0,True,positive,20,1,1
"Overall sound is not as good as Echo, my primary source for Amazon content. However, the Tap is great for medium volume music and radio stations and as an alarm clock. It's portability sets it apart, however, it's nice to be able to take it from room to room and to the garage and patio without disconnecting. Recent software update now allows listening mode. It does require a brief pause after saying Alexa wake word, but it does work. This drains the battery more quickly but you can keep it in the charger base or toggle off listening mode at the touch of a button. The portability and voice activation now make this a worthwhile addition to my Echo, which is fabulous!",4.0,True,positive,122,1,1
"Much better than the echo dot. However, the fact that you have to touch the button to activate it instead of just talking to it is a bit annoying. Speaker is fairly powerful for its size.",3.0,True,neutral,36,0,1
"The product works well. However, you have to hold down the button to use the best part of the device, Alexa. I really wanted to take it back because it can be a little annoying to hold down the button every time you have a question but the sound quality of this product is just so dog on awesome!!",3.0,True,neutral,59,0,1
The Amazon Tap has great sound and is responsive to requests for the songs and music I like. It has a rechargeable battery and is portable which is great for taking your music with you as you move around. Thumbs up for the Tap!,5.0,True,positive,44,1,1
Was easy to set up. Excellent sound quality for the price,5.0,True,positive,11,1,1
This product is awesome. You can play your favorite music instantly. Also had great fun asking Alexa questions. Some serious some funny. We love it!!,5.0,True,positive,25,1,1
Great speaker and Echo substitute. This is great for on the go as a Bluetooth speaker and when connected to the internet it works great using the Alexa app.,5.0,True,positive,29,1,1
The sound in this is on par with other high end portable speakers. That however is really just the tip of the iceberg. If you have amazon prime you can access all your music just by asking. Also this works if you have Phillips hue so you can turn the lights off and on with your voice.,5.0,True,positive,57,1,1
I would recommend this Prouducts it had great full sound full sound with a conpack,4.0,True,positive,15,1,1
Works really well with echo and is really neat and fun,5.0,True,positive,11,1,1
Amazon Tap is awesome! Very happy with the purchase!,4.0,True,positive,9,1,1
"I'm thinking this must of been a fluke, it never worked. Had to return item but received full refund",2.0,True,negative,19,-1,1
Sounds great. Must touch to activate. Easy to use.,5.0,True,positive,9,1,1
"The Amazon Tap is the first step into making your home a smart home. It will act as a brain to everything else. Unfortunately, you'll have to invest quite a bit more for smart lights, thermostat, locks, etc. to get the full potential out of it. Alone, it merely acts as a Bluetooth speaker and extension of your phone.",4.0,True,positive,59,1,1
"would get another, works great, having fun with all the options",4.0,True,positive,11,1,1
"Unlike the larger version, this does not need to be plugged in..making it portable....although you have to press the button for every request..it's great to take with you where ever you go..fully rechargable",5.0,True,positive,33,1,1
"The Amazon Tap puts out an impressive amount of sound for such a small device. A few things to note if you're not familiar with the Tap or haven't seen it in person:- It's roughly the size of a glass of water- By default, you do have to press the microphone button to talk to Alexa, but as of an update released on Feb 17th, 2017 there is an option in the Alexa app to make the Tap always listen without pushing the button (at the expense of battery life)- The speaker grille is not metal, though it looks like it in pictures. It's a mesh fabric, similar to what you'd feel on the end of some speaker grilles and micrphones. It's firm and comfortable to hold, but if you push hard enough it does flex. - Using a sling or other case will most likely not allow you to use the charging dock, as there is very little room between the tap and the dock for any kind of case.- You can charge the Tap using either the included dock or by plugging any micro USB cable (one is included) into the back of the speaker.",5.0,True,positive,197,1,1
"Hi Everyone, Alexa is the best of the best. I feel like she knows me more and more each week. She is a STRONG speaker for my love of music. She knows like everything ever. I ask her crazy facts and she always responds with something. She does struggle a little with recent events. But that will get better with time. She is my home personal assistant and assists with managing my calendar. In a word. AWESOME!",5.0,True,positive,77,1,1
I Luke it a lot and good to for it for and good to,5.0,True,positive,14,1,1
Great sound. Portable. The kids love it. Didn't think I would use it but I tend to use it a lot.,5.0,True,positive,21,1,1
I would go for the Echo because you can talk to it. The tap you have to touch it before you can talk to it. The speaker is good though for it's size.,4.0,True,positive,33,1,1
Good loud sound. Very good speaker. Convenient voice commands to take outside of house.,4.0,True,positive,14,1,1
"I bought this for my mother in law to use when she is outside gardening. She had a huuuge portable speaker that didn't sound very good and used many double 'd' batteries. This one sounds better and lasts all day. I was concerned she wouldn't be able to figure it out, but it is so user friendly she has no issues with it. She loves it and that is a good thing.",5.0,True,positive,72,1,1
Great speaker sound and ease of setup. Works great with Amazon music option.,5.0,True,positive,13,1,1
Was gift fot my daughter. she seems to enjoy very much.,4.0,True,positive,11,1,1
My son requested this a a birthday gift. He is enjoying it everyday.,5.0,True,positive,13,1,1
"Good, but not overall as capable or comprehensive as I was hoping. Will continue to explore capabilities and Apps.",4.0,True,positive,19,1,1
"This is a great personal speaker. I have both the Tap and the Echo. The only downside to the tap is you actually have to physically ""tap"" the mic button to activate Alexa. The sound quality is pretty good for the price. If you can afford it, I would upgrade to the Echo.",4.0,True,positive,53,1,1
Haven't been able to train Alexa like we've heard. Probably our own fault. We have fun with it.,4.0,True,positive,18,1,1
Bought it for a couple of my friends and it was a big hit with them! Very useful!,5.0,True,positive,18,1,1
"best portable speaker I've ever owned. I use this everyday, mostly when getting ready in the morning or when I have guests over. Good sound quality and links to the Alexa app just like an Echo. It come with a charging base that allows you to not have it plugged in unlike the Echo. Also connects to a mobile device via bluetooth or aux cord.",5.0,True,positive,65,1,1
Very easy to setup and use. Still learning to maximize the usage. The instructio is too simple and not cover much using Alexa .,4.0,True,positive,24,1,1
When it works it's great but for some reason it doesn't always answer me When it doesn't answer me I turn off the tv and make sure no one else is talking and it still doesn't work at that time. It was easy to set up with the phone app. Doesn't seem to matter where the phone is when it isn't working. I've tried close and far and in between. So a case of great when it works and the pits when it doesn't,3.0,False,neutral,84,0,0
It was an unexpected gift. I like this more than the Alexa because this one is portable. It's great for streaming music. My kids use it all the time. Only problem so far is it does not always understand what I'm saying. Especially when saying the name of a radio station. Sometimes takes few tries before I get what I'm looking for. It has great sound when playing music. Talk radio is not as good but understandable. If you want a portable speaker and Alexa this is the one to get.,4.0,True,positive,91,1,1
You need to have amazon prime plus order a special music plan. Disappointing for sure. The sound is ok. I think the larger model is probably better.,3.0,False,neutral,27,0,0
"Love the Tap! Bought it as a gift and love the sound quality. For such a small speaker, it packs a big punch!",5.0,True,positive,23,1,1
This Alexa is a super form of info with little wait time.,5.0,True,positive,12,1,1
I love it it does everything I want can't believe how great it is,5.0,True,positive,14,1,1
"This product, while the speaker is great, fails to deliver with a voice interface. Use your cell phone or computer and buy an Echo Dot.",3.0,False,neutral,25,0,0
I am enjoying the Tap very much. Lot's to do and play with on the app. Still finding new things it can do daily. Great sound quality to play my music. I only wish that it had a better search engine.,4.0,True,positive,41,1,1
Got this for the family and we all love it. Great gift,4.0,True,positive,12,1,1
Sleep design and works great. Ideal gift for the person who has everything.,5.0,True,positive,13,1,1
"This was a excellent gift for the family, A good choice.",4.0,True,positive,11,1,1
"Great product at a great price from Best Buy. Have to press a button rather than just saying her name, but that's the price you pay for it being cordless.",5.0,True,positive,30,1,1
"This is fun but would not buy again. Not very informative. Keeps say ""I do not understand your question. """,2.0,False,negative,20,-1,0
"Bought it as a gift, she loves it. Very entertaining and wonderful volume, having lots of fun with it.",5.0,True,positive,19,1,1
"WAS SURPRISED HOW GREAT THIS WORKS , MUSIC ASK IT QUESTIONS AWESOME",5.0,True,positive,12,1,1
Awesome product. Enjoy using it everyday. Would definitely recommend,5.0,True,positive,9,1,1
I enjoy it. It's gray for reading and working out.,4.0,True,positive,10,1,1
